timestamp,open,high,low,volume,tic,close,macd,boll_ub,boll_lb,atr,rsi,close_7_sma,close_30_ema,close_365_ema,log-ret
2021-01-02,28923.63,29600.0,28624.57,54182.925011,BTCUSDT,29331.69,0.0,34780.76689519375,26729.253104806252,975.4300000000003,100.0,29331.69,29331.69,29331.69,0.0
2021-01-03,29331.7,33300.0,28946.53,129993.873362,BTCUSDT,32178.33,63.86692307692647,34780.76689519375,26729.253104806252,2727.006296296297,100.0,30755.010000000002,30802.454,30758.909506849315,0.09262474311680098
2021-01-04,32176.45,34778.11,31962.99,120957.56675,BTCUSDT,33000.05,106.8606247744865,35353.5036887599,27653.209644573442,2758.5790310786106,100.0,31503.35666666667,31584.345801554988,31510.053473213302,0.025215831986554423
2021-01-05,33000.05,33600.0,28130.0,140899.88569,BTCUSDT,31988.71,87.282075030329,34805.57369191308,28443.81630808692,3513.5398772196854,76.08484465804167,31624.695,31695.762873658903,31630.70293720486,-0.031126048570094073
2021-01-06,31989.75,34360.0,29900.0,116049.997038,BTCUSDT,33949.53,152.8314170468293,35541.09332066683,28638.23067933317,3731.8728727384096,84.04957029872284,32089.662,32208.549460872273,32099.564596389002,0.059491981974053296
2021-01-07,33949.53,36939.21,33288.0,127139.20131,BTCUSDT,36769.36,309.9403204546106,37781.802431470765,27957.420901862577,3715.82151835905,89.47710602468445,32869.61166666667,33100.800198892946,32888.56430277169,0.07978987964728743
2021-01-08,36769.36,40365.0,36300.0,132825.700437,BTCUSDT,39432.28,525.9919399808132,40494.33636984513,27119.935058726303,3777.444693069988,92.1824423883731,33807.135714285716,34195.87087848579,33838.81765199932,0.06991988054158309
2021-01-09,39432.48,41950.0,36500.0,139789.957499,BTCUSDT,40582.81,717.1229186290875,42482.57854898954,26825.61145101046,4044.557319618804,93.01768050255141,35414.438571428575,35192.462796821615,34698.07214130042,0.028759807724559636
2021-01-10,40586.96,41380.0,38720.0,75785.979675,BTCUSDT,40088.22,814.0277859938942,43427.88225446841,27087.891078864923,3841.374810136164,88.63368512787393,36544.42285714286,35892.32548674616,35310.18783187043,-0.012262052365310671
2021-01-11,40088.22,41350.0,35111.11,118209.544503,BTCUSDT,38150.02,771.090908028651,43464.0479951529,27630.1520048471,4168.563904496332,73.92895409779452,37280.13285714285,36191.59567734605,35601.224389975556,-0.04955624359220215
2021-01-12,38150.02,38264.74,30420.0,251156.138287,BTCUSDT,35404.47,582.9793766725779,43045.30242503706,28022.964847690215,4639.614138648771,58.99735635403505,37768.09857142857,36093.904569520346,35582.84356248091,-0.07468819862209011
2021-01-13,35410.37,36628.0,32531.0,133948.151996,BTCUSDT,34051.24,362.79988402162417,42623.17102927842,28197.94730405491,4573.816956868999,53.28490091457327,37782.62857142858,35854.64567953119,35451.328410687136,-0.03897163438842312
2021-01-14,34049.15,37850.0,32380.0,124477.914938,BTCUSDT,37371.38,382.2447516249231,42552.074153089125,28570.708923833954,4677.329623775144,62.80155916598637,37868.631428571425,36023.421851321196,35603.92909578545,0.09303872186648503
2021-01-15,37371.38,40100.0,36701.23,102950.389421,BTCUSDT,39144.5,494.59817856290465,42801.49784611815,28833.157868167553,4535.885173028412,66.70278848402657,37827.520000000004,36355.20871264975,35865.932769625004,0.04635475642223115
2021-01-16,39145.21,39747.76,34408.0,118300.920916,BTCUSDT,36742.22,430.4637630468278,42626.02787026069,29131.946796405988,4621.461663526982,57.850526847975935,37278.864285714284,36394.69973456627,35926.61917881973,-0.06333342468810564
2021-01-17,36737.43,37950.0,35357.8,86348.431508,BTCUSDT,35994.98,331.0686442473161,42404.75530440493,29367.718445595077,4412.7471467759715,55.388183864731765,36694.11571428571,36355.387130594936,35931.06955288152,-0.020547018278436267
2021-01-18,35994.98,36852.5,33850.0,80157.727384,BTCUSDT,35828.61,240.86174259743711,42194.43728913698,29571.25682851008,4272.118869200108,54.828621951226204,36362.485714285714,36305.2739231642,35924.774713019055,-0.004632748030488363
